Date,V,MA,spread,anchor,anchor_var,residual,signal_vol,zscore,position,gross_return,transaction_cost,net_return,equity,turnover
2016-06-17,72.4312,89.7634,7.6928088452851995,7.517598723233594,0.881229244637041,0.17521012205160513,0.813776164033478,0.215305055364582,0.0,0.006352495782835223,0.001,0.005352495782835223,1.2378898484010157,1.0
2016-06-20,72.7643,90.7861,7.405042610488252,7.5140952195921695,0.881229244637041,-0.10905260910391767,0.8593722373189637,-0.12689798944882813,0.0,-0.0,0.0,-0.0,1.2378898484010157,0.0
2016-06-21,72.7547,91.5149,6.952998773664149,7.496630122463711,0.881229244637041,-0.5436313487995621,0.9422342733234254,-0.5769598540308655,0.0,-0.0,0.0,-0.0,1.2378898484010157,0.0
2016-06-22,71.9984,90.5051,6.809733606848809,7.475249280632549,0.881229244637041,-0.66551567378374,1.0077242908989772,-0.6604144405311918,0.0,-0.0,0.0,-0.0,1.2378898484010157,0.0
2016-06-23,73.5977,92.095,7.4438285352699864,7.474271255600332,0.881229244637041,-0.030442720330345452,0.9847208546394922,-0.030915076274575883,0.0,0.0,0.0,0.0,1.2378898484010157,0.0
2016-06-24,70.6089,88.0159,6.931390575321046,7.457373155676424,0.881229244637041,-0.5259825803553779,1.0010826285451038,-0.5254137524290082,0.0,-0.0,0.0,-0.0,1.2378898484010157,0.0
2016-06-27,68.9965,85.7041,6.722450594489501,7.4344974201301115,0.881229244637041,-0.7120468256406101,1.023662061938021,-0.6955877844027416,0.0,-0.0,0.0,-0.0,1.2378898484010157,0.0
2016-06-28,70.7105,87.005,7.646693202441639,7.441102380783873,0.881229244637041,0.20559082165776665,0.9757697012547478,0.21069604989107188,0.0,0.0,0.0,0.0,1.2378898484010157,0.0
2016-06-29,72.1987,88.6509,8.13569134866998,7.4627226634937776,0.881229244637041,0.672968685176202,0.9318677962274678,0.7221718444404008,0.0,0.0,0.0,0.0,1.2378898484010157,0.0
2016-06-30,69.7802,84.7302,8.097391061946965,7.48247781486533,0.881229244637041,0.6149132470816348,0.888267745736813,0.6922611453954886,0.0,-0.0,0.0,-0.0,1.2378898484010157,0.0
