process_var_multiplier,entry_z,exit_z,vol_span,annual_return,annual_volatility,sharpe,max_drawdown,total_return,trade_count,active_day_ratio
1e-05,1.5,0.25,20,0.004463817992112817,0.05898210738074466,0.10495464288650058,-0.12434297265373173,0.03862047709725691,28.0,0.8120335820895522
1e-05,1.5,0.25,40,0.006728081498419636,0.05841066611444735,0.14395488173524124,-0.12434297265373118,0.058709151982180297,25.0,0.7910447761194029
1e-05,1.5,0.25,60,0.011568058819884985,0.05802368765405659,0.22718083215975207,-0.12434297265373173,0.10280330430895801,24.0,0.7761194029850746
1e-05,1.5,0.5,10,0.009609253702447251,0.060173201799102675,0.1889688320274934,-0.12434297265373262,0.08476634856989684,39.0,0.8498134328358209
1e-05,1.5,0.5,20,0.003207147782355646,0.05868997128134587,0.08385413294048542,-0.12434297265373051,0.027617018559322304,30.0,0.800839552238806
1e-05,1.5,0.5,40,0.005520088998459016,0.05717268917115351,0.12481632498495403,-0.11601534523919277,0.047949520714778426,28.0,0.7737873134328358
1e-05,1.5,0.5,60,0.007577807882706011,0.056331578741436045,0.16212077482343043,-0.11601534523919177,0.06633598505771343,25.0,0.7541977611940298
1e-05,1.5,0.75,10,0.010386255439567282,0.05948239761988681,0.20340199432875572,-0.1160153452391921,0.0918896956272417,45.0,0.8442164179104478
1e-05,1.5,0.75,20,0.004450043538093418,0.05789600554245071,0.10558917383599577,-0.1160153452391941,0.03849930605036822,35.0,0.7919776119402985
1e-05,1.5,0.75,40,0.009486211091743968,0.056462731345703204,0.1953929149388324,-0.11601534523919421,0.08364209577525972,33.0,0.7569962686567164
1e-05,1.5,0.75,60,0.010414183147036349,0.05513328064836822,0.21541938607448818,-0.11245299071823533,0.09214649616473158,31.0,0.7318097014925373
1e-05,1.75,0.0,10,0.009412301204574591,0.06049629749387656,0.18505586379890537,-0.12434297265373107,0.08296726808696642,28.0,0.8586753731343284
1e-05,1.75,0.0,20,0.002576716964293846,0.05914511087605586,0.07303173185532591,-0.12434297265373173,0.022135788749493956,21.0,0.8101679104477612
1e-05,1.75,0.0,40,0.006211660383446116,0.056728902913764846,0.1374621758743891,-0.12434297265373095,0.05409749993183044,18.0,0.7574626865671642
1e-05,1.75,0.0,60,0.008005043145607349,0.056766180360590814,0.1687794347245169,-0.12434297265373273,0.07018897773614041,18.0,0.7588619402985075
1e-05,1.75,0.25,10,0.008616377200990843,0.05961123692500635,0.17368027134155736,-0.12434297265373084,0.07572361972399766,32.0,0.8376865671641791
1e-05,1.75,0.25,20,0.00205102830267867,0.058300248011141156,0.06424487424594522,-0.1243429726537314,0.017584974394163844,23.0,0.7854477611940298
1e-05,1.75,0.25,40,0.006359947319742654,0.05580277530647508,0.1414529811519835,-0.12434297265373184,0.05541988776385387,20.0,0.7327425373134329
1e-05,1.75,0.25,60,0.007869571664635533,0.05599408182623941,0.1679307230518914,-0.12434297265373195,0.06896590921892187,20.0,0.7332089552238806
1e-05,1.75,0.5,10,0.006795521605861943,0.0593051912785846,0.14380081985544246,-0.12434297265373084,0.05931270606900019,34.0,0.8250932835820896
1e-05,1.75,0.5,20,0.0010548708201294499,0.05802807000092326,0.04713354159098019,-0.1243429726537314,0.009010395077221345,25.0,0.7756529850746269
1e-05,1.75,0.5,40,0.0040943867684735125,0.05516878353427601,0.10158763092147341,-0.11601534523919244,0.035374982660787646,21.0,0.7201492537313433
1e-05,1.75,0.5,60,0.004446729962290563,0.055061225399257355,0.1080508771939525,-0.11601534523919133,0.03847015906513951,21.0,0.7173507462686567
1e-05,1.75,0.75,10,0.005288787602947709,0.058858002031171724,0.11899858595764655,-0.11601534523919221,0.04590035489459088,36.0,0.8218283582089553
1e-05,1.75,0.75,20,0.0030873881800752567,0.05742468247878415,0.08234170857611249,-0.11601534523919199,0.026573787186173092,29.0,0.7709888059701493
1e-05,1.75,0.75,40,0.005781487800739615,0.0547630185952217,0.13258877980561062,-0.11601534523919266,0.05026959186447266,23.0,0.7098880597014925
1e-05,1.75,0.75,60,0.007740202139235874,0.05408483086671098,0.1695404175910129,-0.10973346270903428,0.06779908217433173,25.0,0.6986940298507462
1e-05,2.0,0.0,10,0.01029770066769875,0.059884468032523806,0.20097285883497526,-0.12434297265373195,0.09107577011598322,25.0,0.8367537313432836
1e-05,2.0,0.0,20,0.006593139902334011,0.0584612262812974,0.14158695574796187,-0.12434297265373095,0.05750240548418062,19.0,0.7966417910447762
1e-05,2.0,0.0,40,0.0067905576063271855,0.05604534025522827,0.14871308086427648,-0.1243429726537304,0.05926827049030181,16.0,0.7388059701492538
1e-05,2.0,0.0,60,0.0012331183786116195,0.054640169687523506,0.04981246420934163,-0.1243429726537304,0.01053998811544421,12.0,0.6963619402985075
1e-05,2.0,0.25,10,0.009910482517468733,0.059013198486285924,0.19656775868063478,-0.1243429726537324,0.08752305237122648,28.0,0.816231343283582
1e-05,2.0,0.25,20,0.006272812416939999,0.057618051262693586,0.13728746720696172,-0.12434297265373218,0.05464266204354096,21.0,0.7728544776119403
1e-05,2.0,0.25,40,0.007184128469552409,0.05510059597332975,0.15740592591676136,-0.12434297265373095,0.06279645593380923,18.0,0.7122201492537313
